C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: IS_SANDBOX=1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: XPC_FLAGS=0x0, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: __CF_USER_TEXT_ENCODING=0x1F5:0x0:0x0, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: MAVEN_CMD_LINE_ARGS=clean install, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: LANG=en_US.UTF-8, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: ANTHROPIC_DISABLE_SAFETY_CHECKS=1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: TERM_PROGRAM_VERSION=455.1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: TERM_PROGRAM=Apple_Terminal, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: JAVA_HOME=/Users/milton/Library/Java/JavaVirtualMachines/openjdk-21.0.2/Contents/Home, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: CLAUDE_CODE_BYPASS_ALL_PERMISSIONS=1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.sA4Y3m0X3c/Listeners, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: OLDPWD=/Users/milton/github/jvmxray/prj-common, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: XPC_SERVICE_NAME=0, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: SPARK_HOME=/Users/milton/spark/spark-3.5.1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: USER=milton, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: SECURITYSESSIONID=186a4, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: PWD=/Users/milton/github/jvmxray/prj-common, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=Environment Setting: _=/Users/milton/Library/Java/JavaVirtualMachines/openjdk-21.0.2/Contents/Home/bin/java, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: logback.common.configurationFile=/Users/milton/github/jvmxray/prj-common/../.jvmxray/common/config/logback.xml, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.specification.version=21, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.jnu.encoding=UTF-8, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.class.path=/Users/milton/github/jvmxray/prj-common/target/test-classes:/Users/milton/github/jvmxray/prj-common/target/classes:/Users/milton/.m2/repository/junit/junit/4.13.1/junit-4.13.1.jar:/Users/milton/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/milton/.m2/repository/ch/qos/logback/logback-classic/1.5.6/logback-classic-1.5.6.jar:/Users/milton/.m2/repository/ch/qos/logback/logback-core/1.5.6/logback-core-1.5.6.jar:/Users/milton/.m2/repository/ch/qos/logback/contrib/logback-json-classic/0.1.5/logback-json-classic-0.1.5.jar:/Users/milton/.m2/repository/ch/qos/logback/contrib/logback-json-core/0.1.5/logback-json-core-0.1.5.jar:/Users/milton/.m2/repository/ch/qos/logback/contrib/logback-jackson/0.1.5/logback-jackson-0.1.5.jar:/Users/milton/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.17.1/jackson-databind-2.17.1.jar:/Users/milton/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.17.1/jackson-annotations-2.17.1.jar:/Users/milton/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.17.1/jackson-core-2.17.1.jar:/Users/milton/.m2/repository/org/slf4j/slf4j-api/2.0.13/slf4j-api-2.0.13.jar:/Users/milton/.m2/repository/com/datastax/oss/java-driver-core/4.13.0/java-driver-core-4.13.0.jar:/Users/milton/.m2/repository/com/datastax/oss/native-protocol/1.5.0/native-protocol-1.5.0.jar:/Users/milton/.m2/repository/io/netty/netty-handler/4.1.60.Final/netty-handler-4.1.60.Final.jar:/Users/milton/.m2/repository/io/netty/netty-common/4.1.60.Final/netty-common-4.1.60.Final.jar:/Users/milton/.m2/repository/io/netty/netty-resolver/4.1.60.Final/netty-resolver-4.1.60.Final.jar:/Users/milton/.m2/repository/io/netty/netty-buffer/4.1.60.Final/netty-buffer-4.1.60.Final.jar:/Users/milton/.m2/repository/io/netty/netty-transport/4.1.60.Final/netty-transport-4.1.60.Final.jar:/Users/milton/.m2/repository/io/netty/netty-codec/4.1.60.Final/netty-codec-4.1.60.Final.jar:/Users/milton/.m2/repository/com/datastax/oss/java-driver-shaded-guava/25.1-jre-graal-sub-1/java-driver-shaded-guava-25.1-jre-graal-sub-1.jar:/Users/milton/.m2/repository/com/typesafe/config/1.4.1/config-1.4.1.jar:/Users/milton/.m2/repository/com/github/jnr/jnr-posix/3.1.5/jnr-posix-3.1.5.jar:/Users/milton/.m2/repository/com/github/jnr/jnr-ffi/2.2.2/jnr-ffi-2.2.2.jar:/Users/milton/.m2/repository/com/github/jnr/jffi/1.3.1/jffi-1.3.1.jar:/Users/milton/.m2/repository/com/github/jnr/jffi/1.3.1/jffi-1.3.1-native.jar:/Users/milton/.m2/repository/org/ow2/asm/asm/9.1/asm-9.1.jar:/Users/milton/.m2/repository/org/ow2/asm/asm-commons/9.1/asm-commons-9.1.jar:/Users/milton/.m2/repository/org/ow2/asm/asm-analysis/9.1/asm-analysis-9.1.jar:/Users/milton/.m2/repository/org/ow2/asm/asm-tree/9.1/asm-tree-9.1.jar:/Users/milton/.m2/repository/org/ow2/asm/asm-util/9.1/asm-util-9.1.jar:/Users/milton/.m2/repository/com/github/jnr/jnr-a64asm/1.0.0/jnr-a64asm-1.0.0.jar:/Users/milton/.m2/repository/com/github/jnr/jnr-x86asm/1.0.2/jnr-x86asm-1.0.2.jar:/Users/milton/.m2/repository/com/github/jnr/jnr-constants/0.10.1/jnr-constants-0.10.1.jar:/Users/milton/.m2/repository/io/dropwizard/metrics/metrics-core/4.1.18/metrics-core-4.1.18.jar:/Users/milton/.m2/repository/org/hdrhistogram/HdrHistogram/2.1.12/HdrHistogram-2.1.12.jar:/Users/milton/.m2/repository/com/esri/geometry/esri-geometry-api/1.2.1/esri-geometry-api-1.2.1.jar:/Users/milton/.m2/repository/org/json/json/20090211/json-20090211.jar:/Users/milton/.m2/repository/org/codehaus/jackson/jackson-core-asl/1.9.12/jackson-core-asl-1.9.12.jar:/Users/milton/.m2/repository/org/reactivestreams/reactive-streams/1.0.3/reactive-streams-1.0.3.jar:/Users/milton/.m2/repository/com/github/stephenc/jcip/jcip-annotations/1.0-1/jcip-annotations-1.0-1.jar:/Users/milton/.m2/repository/com/github/spotbugs/spotbugs-annotations/3.1.12/spotbugs-annotations-3.1.12.jar:/Users/milton/.m2/repository/com/google/code/findbugs/jsr305/3.0.2/jsr305-3.0.2.jar:/Users/milton/.m2/repository/com/datastax/oss/java-driver-query-builder/4.13.0/java-driver-query-builder-4.13.0.jar:/Users/milton/.m2/repository/com/datastax/oss/java-driver-mapper-runtime/4.13.0/java-driver-mapper-runtime-4.13.0.jar:/Users/milton/.m2/repository/com/mysql/mysql-connector-j/8.0.33/mysql-connector-j-8.0.33.jar:/Users/milton/.m2/repository/com/google/protobuf/protobuf-java/3.21.9/protobuf-java-3.21.9.jar:/Users/milton/.m2/repository/org/xerial/sqlite-jdbc/3.42.0.0/sqlite-jdbc-3.42.0.0.jar:/Users/milton/.m2/repository/com/zaxxer/HikariCP/5.0.1/HikariCP-5.0.1.jar:/Users/milton/.m2/repository/commons-cli/commons-cli/1.5.0/commons-cli-1.5.0.jar:, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.vendor=Oracle Corporation, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.arch.data.model=64, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vendor.url=https://java.oracle.com/, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.timezone=America/Chicago, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.specification.version=21, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: os.name=Mac OS X, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: jvmxray.agent.config=/Users/milton/github/jvmxray/prj-common/../.jvmxray/agent/config, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: jvmxray.agent.logs=/Users/milton/github/jvmxray/prj-common/../.jvmxray/agent/logs, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.java.launcher=SUN_STANDARD, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.country=US, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.boot.library.path=/Users/milton/Library/Java/JavaVirtualMachines/openjdk-21.0.2/Contents/Home/lib, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.java.command=org.jvmxray.shared.integration.turtle.TurtleIntegrationTest -d 1 -i medium -v, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: http.nonProxyHosts=local|*.local|169.254/16|*.169.254/16, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: jdk.debug=release, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.cpu.endian=little, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.home=/Users/milton, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.language=en, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.specification.vendor=Oracle Corporation, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.version.date=2024-01-16, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.home=/Users/milton/Library/Java/JavaVirtualMachines/openjdk-21.0.2/Contents/Home, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: file.separator=/, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.compressedOopsMode=Zero based, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: line.separator=, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.specification.vendor=Oracle Corporation, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.specification.name=Java Platform API Specification, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: jvmxray.test.home=/Users/milton/github/jvmxray/prj-common/../.jvmxray, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: jvmxray.test.progress=true, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: sun.management.compiler=HotSpot 64-Bit Tiered Compilers, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: ftp.nonProxyHosts=local|*.local|169.254/16|*.169.254/16, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.runtime.version=21.0.2+13-58, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.name=milton, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: stdout.encoding=UTF-8, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: path.separator=:, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: os.version=15.6.1, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.runtime.name=OpenJDK Runtime Environment, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: file.encoding=UTF-8, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.name=OpenJDK 64-Bit Server VM, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vendor.url.bug=https://bugreport.java.com/bugreport/, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.io.tmpdir=/var/folders/3k/p500md7x7276dj7f9mp_rs5c0000gn/T/, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.version=21.0.2, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: user.dir=/Users/milton/github/jvmxray/prj-common, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: os.arch=aarch64, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: java.vm.specification.name=Java Virtual Machine Specification, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
C:AP | 2025.09.18 at 11:23:34 CDT | main |  INFO | org.jvmxray.events.system.settings |  | caller=sun.instrument.InstrumentationImpl:560, message=System Property: native.encoding=UTF-8, AID=7KLZZAC0DM9RA1ISVXQY63NTK, CID=unit-test
